File,Translation key,en,nl,de,fr,it,sv,no,es,da,ru,pl
.homeycompose/locales,device_offline,"This device is currently offline, please check the gateway and its network connection","Dit apparaat is momenteel offline, controleer de gateway en de netwerkverbinding","Dieses Gerät ist derzeit offline, bitte überprüfen Sie das Gateway und seine Netzwerkverbindung","Cet appareil est actuellement hors ligne, veuillez vérifier la passerelle et sa connexion réseau","Questo dispositivo è attualmente offline, controlla il gateway e la sua connessione di rete",Den här enheten är för närvarande offline. Kontrollera gatewayen och dess nätverksanslutning,"Denne enheten er for øyeblikket frakoblet, vennligst sjekk gatewayen og dens nettverkstilkobling","Este dispositivo está actualmente fuera de línea, verifique la puerta de enlace y su conexión de red",,,"To urządzenie jest obecnie offline, sprawdź bramę i jej połączenie sieciowe"
.homeycompose/locales,device_removed,"This device is no longer available, consider removing it from Homey as well","Dit apparaat is niet meer beschikbaar, overweeg om het ook uit Homey te verwijderen","Dieses Gerät ist nicht mehr verfügbar, ziehen Sie in Betracht, es auch von Homey zu entfernen","Cet appareil n'est plus disponible, pensez également à le supprimer de Homey","Questo dispositivo non è più disponibile, valuta la possibilità di rimuoverlo anche da Homey","Den här enheten är inte längre tillgänglig, överväg att ta bort den från Homey också",Denne enheten er ikke lenger tilgjengelig. Vurder å fjerne den fra Homey også,"Este dispositivo ya no está disponible, considere eliminarlo también de Homey",,,"To urządzenie nie jest już dostępne, rozważ usunięcie go również z Homey"
.homeycompose/locales,unknown,Unknown,Onbekend,Unbekannt,Inconnu,Sconosciuto,Okänd,Ukjent,Desconocido,,,Nieznany
.homeycompose\app.json,description,Smart Lighting For Everyone,Slimme verlichting voor iedereen,Intelligente Beleuchtung für jedermann,Un éclairage intelligent pour tous,Illuminazione intelligente per tutti,Smart belysning för alla,Smart belysning for alle,Iluminación inteligente para todos,,,Inteligentne oświetlenie dla każdego
.homeycompose\app.json,name,Plejd,,,,,,,,,,
drivers\plejd_device\driver.compose.json,name,Bridged Plejd Devices,Gekoppelde Plejd-apparaten,Überbrückte Plejd-Geräte,Appareils reliés à Pledj,Dispositivi Plejd con bridge,Bryggade Plejd-enheter,Brokoblede Plejd-enheter,Dispositivos Plejd conectados,,,Połączone urządzenia Plejd
drivers\plejd_device\driver.settings.compose.json,[0].children[0].label,Device,Apparaat,Gerät,Appareil,Dispositivo,Enhet,Enhet,Dispositivo,,,Urządzenie
drivers\plejd_device\driver.settings.compose.json,[0].children[1].label,Software version,Softwareversie,Software-Version,Version du logiciel,Versione del software,Software-version,Programvareversjon,Versión del software,,,Wersja oprogramowania
drivers\plejd_device\driver.settings.compose.json,[0].children[2].label,Room hint,Kamernaam,Raumname,Nom de la pièce,Nome della stanza,Rumsnamn,Romnavn,Nombre de la habitación,,,Nazwa pomieszczenia
drivers\plejd_device\driver.settings.compose.json,[0].label,Device information,Apparaatinformatie,Geräteinformationen,Informations sur l'appareil,Informazioni sul dispositivo,Enhetsinformation,Enhetsinformasjon,Información del dispositivo,,,Informacje o urządzeniu
